time,cell,cx,cy,peak_id,peak_x,peak_y
0,1,39.50,138.50,0,5.30,34.46
0,1,39.50,138.50,1,9.07,25.67
0,1,39.50,138.50,2,35.24,27.25
0,1,39.50,138.50,3,10.24,35.96
0,1,39.50,138.50,4,0.91,22.79
0,2,226.75,177.50,0,5.30,34.46
0,2,226.75,177.50,1,9.07,25.67
0,2,226.75,177.50,2,35.24,27.25
0,2,226.75,177.50,3,10.24,35.96
0,2,226.75,177.50,4,0.91,22.79
0,3,28.00,160.00,0,5.30,34.46
0,3,28.00,160.00,1,9.07,25.67
0,3,28.00,160.00,2,35.24,27.25
0,3,28.00,160.00,3,10.24,35.96
0,3,28.00,160.00,4,0.91,22.79
0,4,183.00,89.00,0,5.30,34.46
0,4,183.00,89.00,1,9.07,25.67
0,4,183.00,89.00,2,35.24,27.25
0,4,183.00,89.00,3,10.24,35.96
0,4,183.00,89.00,4,0.91,22.79
0,5,268.00,144.00,0,5.30,34.46
0,5,268.00,144.00,1,9.07,25.67
0,5,268.00,144.00,2,35.24,27.25
0,5,268.00,144.00,3,10.24,35.96
0,5,268.00,144.00,4,0.91,22.79
0,6,281.00,101.00,0,5.30,34.46
0,6,281.00,101.00,1,9.07,25.67
0,6,281.00,101.00,2,35.24,27.25
0,6,281.00,101.00,3,10.24,35.96
0,6,281.00,101.00,4,0.91,22.79
0,7,378.00,374.00,0,5.30,34.46
0,7,378.00,374.00,1,9.07,25.67
0,7,378.00,374.00,2,35.24,27.25
0,7,378.00,374.00,3,10.24,35.96
0,7,378.00,374.00,4,0.91,22.79
0,8,228.25,276.00,0,5.30,34.46
0,8,228.25,276.00,1,9.07,25.67
0,8,228.25,276.00,2,35.24,27.25
0,8,228.25,276.00,3,10.24,35.96
0,8,228.25,276.00,4,0.91,22.79
0,9,308.33,179.00,0,5.30,34.46
0,9,308.33,179.00,1,9.07,25.67
0,9,308.33,179.00,2,35.24,27.25
0,9,308.33,179.00,3,10.24,35.96
0,9,308.33,179.00,4,0.91,22.79
0,10,107.50,396.50,0,5.30,34.46
0,10,107.50,396.50,1,9.07,25.67
0,10,107.50,396.50,2,35.24,27.25
0,10,107.50,396.50,3,10.24,35.96
0,10,107.50,396.50,4,0.91,22.79
0,11,328.50,329.50,0,5.30,34.46
0,11,328.50,329.50,1,9.07,25.67
0,11,328.50,329.50,2,35.24,27.25
0,11,328.50,329.50,3,10.24,35.96
0,11,328.50,329.50,4,0.91,22.79
0,12,117.00,170.00,0,5.30,34.46
0,12,117.00,170.00,1,9.07,25.67
0,12,117.00,170.00,2,35.24,27.25
0,12,117.00,170.00,3,10.24,35.96
0,12,117.00,170.00,4,0.91,22.79
0,13,10.50,335.00,0,5.30,34.46
0,13,10.50,335.00,1,9.07,25.67
0,13,10.50,335.00,2,35.24,27.25
0,13,10.50,335.00,3,10.24,35.96
