time,cell,cx,cy,peak_id,peak_x,peak_y
0,1,127.50,126.00,0,18.00,9.82
0,1,127.50,126.00,1,26.50,17.82
0,1,127.50,126.00,2,17.90,4.66
0,1,127.50,126.00,3,1.77,2.06
0,1,127.50,126.00,4,6.04,3.00
0,2,199.00,251.00,0,18.00,9.82
0,2,199.00,251.00,1,26.50,17.82
0,2,199.00,251.00,2,17.90,4.66
0,2,199.00,251.00,3,1.77,2.06
0,2,199.00,251.00,4,6.04,3.00
0,3,236.00,306.00,0,18.00,9.82
0,3,236.00,306.00,1,26.50,17.82
0,3,236.00,306.00,2,17.90,4.66
0,3,236.00,306.00,3,1.77,2.06
0,3,236.00,306.00,4,6.04,3.00
0,4,95.50,396.50,0,18.00,9.82
0,4,95.50,396.50,1,26.50,17.82
0,4,95.50,396.50,2,17.90,4.66
0,4,95.50,396.50,3,1.77,2.06
0,4,95.50,396.50,4,6.04,3.00
0,5,227.20,120.00,0,18.00,9.82
0,5,227.20,120.00,1,26.50,17.82
0,5,227.20,120.00,2,17.90,4.66
0,5,227.20,120.00,3,1.77,2.06
0,5,227.20,120.00,4,6.04,3.00
0,6,30.00,8.00,0,18.00,9.82
0,6,30.00,8.00,1,26.50,17.82
0,6,30.00,8.00,2,17.90,4.66
0,6,30.00,8.00,3,1.77,2.06
0,6,30.00,8.00,4,6.04,3.00
0,7,143.00,41.00,0,18.00,9.82
0,7,143.00,41.00,1,26.50,17.82
0,7,143.00,41.00,2,17.90,4.66
0,7,143.00,41.00,3,1.77,2.06
0,7,143.00,41.00,4,6.04,3.00
0,8,142.50,352.00,0,18.00,9.82
0,8,142.50,352.00,1,26.50,17.82
0,8,142.50,352.00,2,17.90,4.66
0,8,142.50,352.00,3,1.77,2.06
0,8,142.50,352.00,4,6.04,3.00
0,9,364.00,277.00,0,18.00,9.82
0,9,364.00,277.00,1,26.50,17.82
0,9,364.00,277.00,2,17.90,4.66
0,9,364.00,277.00,3,1.77,2.06
0,9,364.00,277.00,4,6.04,3.00
0,10,366.00,370.00,0,18.00,9.82
0,10,366.00,370.00,1,26.50,17.82
0,10,366.00,370.00,2,17.90,4.66
0,10,366.00,370.00,3,1.77,2.06
0,10,366.00,370.00,4,6.04,3.00
0,11,152.00,92.00,0,18.00,9.82
0,11,152.00,92.00,1,26.50,17.82
0,11,152.00,92.00,2,17.90,4.66
0,11,152.00,92.00,3,1.77,2.06
0,11,152.00,92.00,4,6.04,3.00
0,12,264.00,258.00,0,18.00,9.82
0,12,264.00,258.00,1,26.50,17.82
0,12,264.00,258.00,2,17.90,4.66
0,12,264.00,258.00,3,1.77,2.06
0,12,264.00,258.00,4,6.04,3.00
0,13,263.00,323.67,0,18.00,9.82
0,13,263.00,323.67,1,26.50,17.82
0,13,263.00,323.67,2,17.90,4.66
0,13,263.00,323.67,3,1.77,2.06
0,13,263.00,323.67,4,6.04,3.00
0,14,127.00,68.00,0,18.00,9.82
0,14,127.00,68.00,1,26.50,17.82
0,14,127.00,68.00,2,17.90,4.66
0,14,127.00,68.00,3,1.77,2.06
0,14,127.00,68.00,4,6.04,3.00
0,15,195.00,237.33,0,18.00,9.82
0,15,195.00,237.33,1,26.50,17.82
0,15,195.00,237.33,2,17.90,4.66
0,15,195.00,237.33,3,1.77,2.06
0,15,195.00,237.33,4,6.04,3.00
0,16,55.00,189.00,0,18.00,9.82
0,16,55.00,189.00,1,26.50,17.82
0,16,55.00,189.00,2,17.90,4.66
0,16,55.00,189.00,3,1.77,2.06
0,16,55.00,189.00,4,6.04,3.00
0,17,231.00,93.50,0,18.00,9.82
0,17,231.00,93.50,1,26.50,17.82
0,17,231.00,93.50,2,17.90,4.66
0,17,231.00,93.50,3,1.77,2.06
0,17,231.00,93.50,4,6.04,3.00
0,18,121.00,215.00,0,18.00,9.82
0,18,121.00,215.00,1,26.50,17.82
0,18,121.00,215.00,2,17.90,4.66
0,18,121.00,215.00,3,1.77,2.06
0,18,121.00,215.00,4,6.04,3.00
0,19,313.00,222.00,0,18.00,9.82
0,19,313.00,222.00,1,26.50,17.82
